SequentialValue : 514.0590677261353s
Value : 500.97062516212463s
Value : 510.2535820007324s
Value : 504.28127884864807s
Value : 509.93846130371094s
Value : 503.79786562919617s
Value : 502.20035576820374s
Value : 502.63178515434265s
Value : 507.3793456554413s
Value : 500.50663661956787s
Average execution time: 505.6019003868103s
