SequentialValue : 0.9223449230194092s
Value : 0.85772705078125s
Value : 0.8060956001281738s
Value : 0.7989819049835205s
Value : 0.7881536483764648s
Value : 0.7826869487762451s
Value : 0.7853381633758545s
Value : 0.901796817779541s
Value : 0.812697172164917s
Value : 0.8926002979278564s
Average execution time: 0.8348422527313233s
