SequentialValue : 74.74816107749939s
Value : 74.9849681854248s
Value : 74.8709888458252s
Value : 74.65841364860535s
Value : 74.79242825508118s
Value : 74.42055106163025s
Value : 74.69158029556274s
Value : 74.5260157585144s
Value : 74.46495127677917s
Value : 74.53398036956787s
Average execution time: 74.66920387744904s
