SequentialValue : 0.35681700706481934s
Value : 0.33212971687316895s
Value : 0.33179783821105957s
Value : 0.3460237979888916s
Value : 0.33496713638305664s
Value : 0.3487975597381592s
Value : 0.33796215057373047s
Value : 0.34380531311035156s
Value : 0.35025453567504883s
Value : 0.3389720916748047s
Average execution time: 0.3421527147293091s
