SequentialValue : 71.65384769439697s
Value : 71.55771708488464s
Value : 71.80538392066956s
Value : 74.34769296646118s
Value : 72.87123370170593s
Value : 71.47245240211487s
Value : 71.5714647769928s
Value : 72.03227257728577s
Value : 72.62153768539429s
Value : 72.78886437416077s
Average execution time: 72.27224671840668s
