SequentialValue : 253.08085203170776s
Value : 250.01775670051575s
Value : 248.1111705303192s
Value : 253.7606337070465s
Value : 249.88011860847473s
Value : 249.73144435882568s
Value : 251.83819365501404s
Value : 247.88910961151123s
Value : 248.4142997264862s
Value : 248.8593294620514s
Average execution time: 250.15829083919525s
