SequentialValue : 231.20469689369202s
Value : 222.63619756698608s
Value : 224.08116602897644s
Value : 225.03720450401306s
Value : 222.27775740623474s
Value : 222.96656584739685s
Value : 222.24732303619385s
Value : 226.08706760406494s
Value : 222.0840401649475s
Value : 222.0874137878418s
Average execution time: 224.07094328403474s
