SequentialValue : 0.4418485164642334s
Value : 0.44652485847473145s
Value : 0.46889376640319824s
Value : 0.43108201026916504s
Value : 0.4118030071258545s
Value : 0.38217687606811523s
Value : 0.4803018569946289s
Value : 0.4859459400177002s
Value : 0.5580849647521973s
Value : 0.648613691329956s
Average execution time: 0.47552754878997805s
