SequentialValue : 185.76401829719543s
Value : 158.589013338089s
Value : 163.74331498146057s
Value : 160.1897554397583s
Value : 164.8240840435028s
Value : 161.54354405403137s
Value : 160.07854747772217s
Value : 163.97502636909485s
Value : 158.95269083976746s
Value : 158.19480204582214s
Average execution time: 163.5854796886444s
