SequentialValue : 8.97050142288208s
Value : 9.020695209503174s
Value : 8.939275741577148s
Value : 9.002745866775513s
Value : 9.097650289535522s
Value : 8.9447603225708s
Value : 9.020582437515259s
Value : 8.994051933288574s
Value : 9.901993989944458s
Value : 8.96607756614685s
Average execution time: 9.085833477973939s
