SequentialValue : 1572.6536962985992s
Value : 1594.1030912399292s
Value : 1571.9709966182709s
Value : 1572.2729377746582s
Value : 1571.1913282871246s
Value : 1589.8868355751038s
Value : 1565.9315302371979s
Value : 1584.158902168274s
Value : 1570.9139680862427s
Value : 1594.8104045391083s
Average execution time: 1578.7893690824508s
