SequentialValue : 0.6962306499481201s
Value : 0.693303108215332s
Value : 0.6965517997741699s
Value : 0.693122148513794s
Value : 0.6930093765258789s
Value : 0.6922304630279541s
Value : 0.6929914951324463s
Value : 0.6938579082489014s
Value : 0.6945877075195312s
Value : 0.6922862529754639s
Average execution time: 0.6938170909881591s
