SequentialValue : 184.0421621799469s
Value : 184.52695488929749s
Value : 184.41707611083984s
Value : 184.00404930114746s
Value : 184.1784176826477s
Value : 184.11249923706055s
Value : 184.3466398715973s
Value : 184.03893971443176s
Value : 183.98396515846252s
Value : 184.22010731697083s
Average execution time: 184.18708114624025s
