SequentialValue : 9.775583505630493s
Value : 9.69964599609375s
Value : 9.753422975540161s
Value : 9.662753343582153s
Value : 9.702139377593994s
Value : 9.74183464050293s
Value : 9.733979940414429s
Value : 9.887054920196533s
Value : 9.737199544906616s
Value : 9.75998592376709s
Average execution time: 9.745360016822815s
