SequentialValue : 260.69685459136963s
Value : 259.5798091888428s
Value : 262.77897024154663s
Value : 262.078919172287s
Value : 261.5100853443146s
Value : 260.17037749290466s
Value : 261.4874768257141s
Value : 261.35704255104065s
Value : 259.3669536113739s
Value : 258.3611445426941s
Average execution time: 260.7387633562088s
