SequentialValue : 0.8411946296691895s
Value : 0.8258969783782959s
Value : 0.8242616653442383s
Value : 0.8245081901550293s
Value : 0.8241689205169678s
Value : 0.8402295112609863s
Value : 0.8260302543640137s
Value : 0.8244900703430176s
Value : 0.8223235607147217s
Value : 0.824453592300415s
Average execution time: 0.8277557373046875s
