SequentialValue : 67.64988660812378s
Value : 67.21713328361511s
Value : 66.57758402824402s
Value : 66.53921556472778s
Value : 66.69482922554016s
Value : 66.72272896766663s
Value : 66.85072946548462s
Value : 66.59991359710693s
Value : 68.27944755554199s
Value : 67.0712411403656s
Average execution time: 67.02027094364166s
