SequentialValue : 780.63045835495s
Value : 777.3538570404053s
Value : 776.5779237747192s
Value : 777.0222673416138s
Value : 783.761462688446s
Value : 772.0454142093658s
Value : 780.0964102745056s
Value : 784.1872749328613s
Value : 780.4050130844116s
Value : 761.6785335540771s
Average execution time: 777.3758615255356s
