SequentialValue : 45.200316190719604s
Value : 44.897836208343506s
Value : 45.49381637573242s
Value : 45.16716122627258s
Value : 44.97228980064392s
Value : 44.91486620903015s
Value : 45.36732721328735s
Value : 45.29525423049927s
Value : 45.746373891830444s
Value : 45.14692163467407s
Average execution time: 45.22021629810333s
