SequentialValue : 15.403615474700928s
Value : 14.077495574951172s
Value : 14.038772583007812s
Value : 14.143656015396118s
Value : 14.027610778808594s
Value : 14.010815143585205s
Value : 14.036732912063599s
Value : 14.15527081489563s
Value : 14.101455450057983s
Value : 14.188100576400757s
Average execution time: 14.21835253238678s
