SequentialValue : 509.68478202819824s
Value : 511.3287925720215s
Value : 509.3912868499756s
Value : 508.51380586624146s
Value : 513.2714419364929s
Value : 510.45843505859375s
Value : 514.101334810257s
Value : 510.0243134498596s
Value : 507.95858240127563s
Value : 509.77385425567627s
Average execution time: 510.4506629228592s
