SequentialValue : 68.07000350952148s
Value : 64.67354202270508s
Value : 64.21288895606995s
Value : 64.196120262146s
Value : 64.21160411834717s
Value : 68.46515679359436s
Value : 64.86284065246582s
Value : 64.02547097206116s
Value : 65.02967858314514s
Value : 72.27099418640137s
Average execution time: 66.00183000564576s
