SequentialValue : 526.160261631012s
Value : 527.770045042038s
Value : 524.1784453392029s
Value : 524.5902214050293s
Value : 527.2257723808289s
Value : 525.0932402610779s
Value : 524.8507566452026s
Value : 522.5213179588318s
Value : 528.738263130188s
Value : 525.2593467235565s
Average execution time: 525.6387670516967s
