SequentialValue : 106.64134216308594s
Value : 107.70219731330872s
Value : 107.05172419548035s
Value : 107.03704857826233s
Value : 105.3320906162262s
Value : 107.40565657615662s
Value : 107.37900042533875s
Value : 107.57152962684631s
Value : 111.3267240524292s
Value : 107.95482063293457s
Average execution time: 107.5402134180069s
