SequentialValue : 281.0654368400574s
Value : 277.63830304145813s
Value : 277.0126531124115s
Value : 275.75029253959656s
Value : 276.7690978050232s
Value : 273.94672417640686s
Value : 278.20781803131104s
Value : 275.19905257225037s
Value : 275.19466280937195s
Value : 275.0342695713043s
Average execution time: 276.5818310499191s
