SequentialSequentialValue : 577.1999478340149s
Value : 573.9554445743561s
Value : 574.2278258800507s
Value : 574.1144976615906s
Value : 574.3107311725616s
Value : 574.8344905376434s
Value : 574.4629120826721s
Value : 574.3784205913544s
Value : 574.29798412323s
Value : 574.4743437767029s
Average execution time: 574.6256598234177s
