SequentialValue : 0.740114688873291s
Value : 0.6834421157836914s
Value : 0.6825952529907227s
Value : 0.6813681125640869s
Value : 0.6811461448669434s
Value : 0.6788656711578369s
Value : 0.6831529140472412s
Value : 0.6837329864501953s
Value : 0.6818459033966064s
Value : 0.6745734214782715s
Average execution time: 0.6870837211608887s
