SequentialValue : 73.17841267585754s
Value : 73.19809889793396s
Value : 73.1390790939331s
Value : 73.3795747756958s
Value : 73.32440567016602s
Value : 73.21039390563965s
Value : 73.12974953651428s
Value : 73.6463029384613s
Value : 73.06881833076477s
Value : 73.17008566856384s
Average execution time: 73.24449214935302s
