SequentialValue : 13.136573314666748s
Value : 13.115636110305786s
Value : 13.130387306213379s
Value : 13.130780935287476s
Value : 13.130711317062378s
Value : 13.130833148956299s
Value : 13.136696577072144s
Value : 13.117082118988037s
Value : 13.111177682876587s
Value : 13.120125770568848s
Average execution time: 13.126000428199768s
