SequentialValue : 1.657999038696289s
Value : 1.6485307216644287s
Value : 1.6450214385986328s
Value : 1.6474308967590332s
Value : 1.6512069702148438s
Value : 1.6483964920043945s
Value : 1.6824951171875s
Value : 1.648329257965088s
Value : 1.652266502380371s
Value : 1.6584506034851074s
Average execution time: 1.6540127038955688s
