SequentialValue : 169.68034648895264s
Value : 169.62275290489197s
Value : 169.89851689338684s
Value : 169.36745023727417s
Value : 169.54133248329163s
Value : 169.2643916606903s
Value : 169.53713059425354s
Value : 169.40028500556946s
Value : 169.59214401245117s
Value : 170.07030534744263s
Average execution time: 169.59746556282045s
