SequentialValue : 162.28001475334167s
Value : 165.68126678466797s
Value : 162.54783153533936s
Value : 164.29654502868652s
Value : 167.9054470062256s
Value : 165.90653800964355s
Value : 165.75550532341003s
Value : 162.5736403465271s
Value : 165.82429146766663s
Value : 165.8286530971527s
Average execution time: 164.85997333526612s
