SequentialValue : 53.43837928771973s
Value : 52.90176844596863s
Value : 52.96730422973633s
Value : 52.88816809654236s
Value : 53.00284695625305s
Value : 54.317248582839966s
Value : 52.66553497314453s
Value : 53.49695110321045s
Value : 53.11318850517273s
Value : 53.93306803703308s
Average execution time: 53.27244582176208s
