SequentialValue : 1.8902790546417236s
Value : 1.8846230506896973s
Value : 1.8816049098968506s
Value : 1.8596396446228027s
Value : 1.8827717304229736s
Value : 1.8781273365020752s
Value : 1.882014274597168s
Value : 1.879004716873169s
Value : 1.8791687488555908s
Value : 1.7834053039550781s
Average execution time: 1.870063877105713s
