SequentialValue : 262.001394033432s
Value : 259.68053936958313s
Value : 258.78310990333557s
Value : 258.77821254730225s
Value : 258.71898198127747s
Value : 258.9047076702118s
Value : 258.6912941932678s
Value : 258.605717420578s
Value : 258.7029323577881s
Value : 258.6076691150665s
Average execution time: 259.1474558591843s
