SequentialValue : 1.6255168914794922s
Value : 1.5804486274719238s
Value : 1.5548372268676758s
Value : 1.5591638088226318s
Value : 1.548966646194458s
Value : 1.5563817024230957s
Value : 1.5555760860443115s
Value : 1.5537915229797363s
Value : 1.5512580871582031s
Value : 1.554490089416504s
Average execution time: 1.5640430688858031s
