SequentialValue : 4.310461044311523s
Value : 4.312021255493164s
Value : 4.311094045639038s
Value : 4.310967683792114s
Value : 4.309580087661743s
Value : 4.3149189949035645s
Value : 4.3091511726379395s
Value : 4.312053203582764s
Value : 4.323324203491211s
Value : 4.308070659637451s
Average execution time: 4.312164235115051s
