SequentialValue : 49.04619312286377s
Value : 48.74753165245056s
Value : 48.929964542388916s
Value : 48.852195262908936s
Value : 48.863869190216064s
Value : 48.9422664642334s
Value : 49.38146924972534s
Value : 48.791319847106934s
Value : 49.04494571685791s
Value : 48.87125778198242s
Average execution time: 48.94710128307342s
