SequentialValue : 528.7940607070923s
Value : 527.9322650432587s
Value : 528.4094159603119s
Value : 528.3010799884796s
Value : 528.0604481697083s
Value : 528.0297660827637s
Value : 528.4644365310669s
Value : 528.1721158027649s
Value : 527.9486873149872s
Value : 528.4006886482239s
Average execution time: 528.2512964248657s
